,antiguedad,calle,cant. baños,cant. cocheras,cant. dormitorios,cant. plantas,enlace,precio,sup. cubierta,sup. terreno
0,35,santa fe,1,0,2,1,/casa-en-venta-en-banfield-3-ambientes--11443410,110000,120,237
1,40,manuel acevedo,3,1,3,1,/casa-en-venta-en-banfield-4-ambientes--11422239,290000,1,369
2,6,peña,4,1,4,1,/casa-en-venta-en-banfield-5-ambientes--10808493,Consultar precio,209,449
3,40,matheu,2,0,4,1,/casa-en-venta-en-banfield-5-ambientes--10864433,210000,1,1
4,10,bernardo monteagudo,3,0,4,2,/casa-en-venta-en-banfield-5-ambientes--10837514,270000,140,245
5,40,cochabamba,1,1,4,1,/casa-en-venta-en-banfield-5-ambientes--10863549,210000,1,1
6,40,alvear,3,2,5,1,/casa-en-venta-en-banfield-6-ambientes--10458017,180000,340,135
7,30,juan jose paso,3,2,4,2,/casa-en-venta-en-banfield-5-ambientes--11278516,345000,230,470
8,50,manuel castro,3,3,4,2,/casa-en-venta-en-banfield-7-ambientes--11383878,289000,280,420
9,50,chacabuco,1,0,2,1,/casa-en-venta-en-banfield-3-ambientes--11627461,139000,81,294
10,10,grigera,3,4,4,2,/casa-en-venta-en-banfield-5-ambientes--11309072,299000,210,243
11,15,grigera,3,2,4,1,/casa-en-venta-en-banfield-5-ambientes--10855408,470000,280,310
12,25,san martin,3,2,4,1,/casa-en-venta-en-banfield-6-ambientes--7725136,520000,253,622
13,4,serrano,2,1,4,2,/casa-en-venta-en-banfield-6-ambientes--11421226,549900,180,375
14,15,french,1,0,2,1,/casa-en-venta-en-banfield-3-ambientes--7286578,163500,80,150
15,40,la plata,3,0,3,1,/casa-en-venta-en-banfield-4-ambientes--11371449,170000,178,374
16,15,rincon,3,2,4,1,/casa-en-venta-en-banfield-5-ambientes--11500934,248000,266,315
17,50,pedernera,2,1,4,2,/casa-en-venta-en-banfield-5-ambientes--10600458,159000,186,212
18,20,presidente derqui,3,0,4,1,/casa-en-venta-en-banfield-5-ambientes--10863464,170000,149,250
19,21,de diciembre,2,2,5,2,/casa-en-venta-en-banfield-6-ambientes--8514356,240000,160,352
20,43,rodriguez peña,4,2,4,1,/casa-en-venta-en-banfield-5-ambientes--11443419,260000,375,564
21,20,pacheco de melo,3,2,3,2,/casa-en-venta-en-banfield--6154243,350000,250,312
22,13,dr t godoy cruz,3,0,3,1,/casa-en-venta-en-banfield-5-ambientes--8282256,278000,261,275
23,50,a mentruyt,2,1,2,1,/casa-en-venta-en-banfield-3-ambientes--10578308,119000,110,250
24,60,cerrito,1,1,3,1,/casa-en-venta-en-banfield-4-ambientes--10915389,168000,113,223
25,22,quintana,2,1,3,1,/casa-en-venta-en-banfield-4-ambientes--11607773,190000,160,450
26,100,gener josé de san martín,1,1,2,1,/casa-en-venta-en-banfield-3-ambientes--11425362,250000,120,487
27,30,vieytes,2,2,3,1,/casa-en-venta-en-banfield-4-ambientes--11525311,330000,220,352
28,2,chacabuco,3,0,4,2,/casa-en-venta-en-banfield-5-ambientes--11499600,300000,180,418
29,15,onofre,1,4,2,1,/casa-en-venta-en-banfield-3-ambientes--11375409,35000,40,168
30,50,lanus,1,1,3,1,/casa-en-venta-en-banfield-4-ambientes--7939675,64000,95,121
31,50,beruti,2,0,2,2,/casa-en-venta-en-banfield-3-ambientes--11084174,360000,224,205
32,30,doctor manuel acevedo,4,2,4,2,/casa-en-venta-en-banfield-5-ambientes--4048384,547000,322,377
33,50,"gr manuel n saviol castro , piso",1,0,3,1,/casa-en-venta-en-banfield-4-ambientes--10383661,150000,100,160
34,40,supe,2,3,4,1,/casa-en-venta-en-banfield-7-ambientes--11442287,179900,185,274
35,40,rincon,4,1,3,2,/casa-en-venta-en-banfield-4-ambientes--4196283,210000,170,208
36,60,almafuerte,1,0,2,1,/casa-en-venta-en-banfield-3-ambientes--10317833,160000,70,350
37,40,peña,3,3,3,1,/casa-en-venta-en-banfield-4-ambientes--6677031,250000,194,376
38,40,castro barros,3,2,3,2,/casa-en-venta-en-banfield-4-ambientes--9857535,230000,182,191
39,40,cap d f sarmiento,1,1,2,1,/casa-en-venta-en-banfield-3-ambientes--8076594,85000,90,200
40,60,av ing m pereyra,2,0,3,1,/casa-en-venta-en-banfield-4-ambientes--11625025,85000,110,222
41,30,estrada,1,0,2,1,/casa-en-venta-en-banfield-3-ambientes--11307789,65000,50,250
42,10,araoz,1,0,2,1,/casa-en-venta-en-banfield-3-ambientes--7155912,135000,81,81
43,50,lamadrid,1,1,2,1,/casa-en-venta-en-banfield-4-ambientes--7388956,95000,90,412
44,60,gr pacios,2,1,3,2,/casa-en-venta-en-banfield-4-ambientes--6419808,220000,210,280
45,50,de diciembre,1,2,2,1,/casa-en-venta-en-banfield-3-ambientes--9019850,160000,110,300
46,20,comahue n° esq vieytes,1,0,1,1,/casa-en-venta-en-banfield-4-ambientes--10856049,62000,37,39
